CompetenciaIndices,SalarioMinimo,SMReferencia,TetoContribuicao,TetoBeneficio,DataBase,FatorIntegral,FatorProporcional,MultiplicadorMoeda,AjusteMoeda,IndiceAtualizacao,IndiceAcumulado,IndiceRes134,IndiceRes134Acumulado,IndiceSalarios,IndiceSCAcumulado,IPCA,IPCAE,IndiceCondenatorias,IndiceCondenatoriasAcumulado,Selic,Juros
09/1971,"225,6",-,2562,2562,FALSE,-,-,1,"0,000001","1,0217921897","1,9594622267","1,0217921897","0,9799173112","1,0217921897","1525841,5028554",-,-,"1,0217921897","0,0013935592","0,00%","1,0000%"
10/1971,"225,6",-,2562,2562,FALSE,-,-,1,"0,000001","1,0201330831","1,9176719557","1,0201330831","0,9590182046","1,0201330831","1493299,24251468",-,-,"1,0201330831","0,0013638382","0,00%","1,0000%"
11/1971,"225,6",-,2562,2562,FALSE,-,-,1,"0,000001","1,0163907008","1,8798252772","1,0163907008","0,9400912689","1,0163907008","1463827,87428977",-,-,"1,0163907008","0,0013369219","0,00%","1,0000%"
12/1971,"225,6",-,2562,2562,FALSE,-,-,1,"0,000001","1,0123416159","1,8495105039","1,0123416159","0,9249310016","1,0123416159","1440221,63244669",-,-,"1,0123416159","0,0013153622","0,00%","1,0000%"
01/1972,"225,6",-,2562,2562,FALSE,-,-,1,"0,000001","1,0120286086","1,8269628304","1,0120286086","0,9136550223","1,0120286086","1422663,66391069",-,-,"1,0120286086","0,0012993264","0,00%","1,0000%"
02/1972,"225,6",-,2562,2562,FALSE,-,-,1,"0,000001","1,0133311918","1,8052482063","1,0133311918","0,9027956468","1,0133311918","1405754,39453558",-,-,"1,0133311918","0,001283883","0,00%","1,0000%"
03/1972,"225,6",-,2562,2562,FALSE,-,-,1,"0,000001","1,0114122682","1,7814987054","1,0114122682","0,8909186396","1,0114122682","1387260,55799311",-,-,"1,0114122682","0,0012669925","0,00%","1,0000%"
04/1972,"225,6",-,2562,2562,FALSE,-,-,1,"0,000001","1,0133207961","1,7613971685","1,0133207961","0,880865961","1,0133207961","1371607,40642196",-,-,"1,0133207961","0,0012526964","0,00%","1,0000%"
05/1972,"268,8",-,2688,2688,FALSE,-,-,1,"0,000001","1,016857408","1,738242396","1,016857408","0,8692863744","1,016857408","1353576,68734589",-,-,"1,016857408","0,0012362289","0,00%","1,0000%"
06/1972,"268,8",-,2688,2688,FALSE,-,-,1,"0,000001","1,0179467681","1,7094259061","1,0179467681","0,8548753912","1,0179467681","1331137,16507658",-,-,"1,0179467681","0,0012157347","0,00%","1,0000%"
07/1972,"268,8",-,2688,2688,FALSE,-,-,1,"0,000001","1,0143433438","1,6792881118","1,0143433438","0,8398036302","1,0143433438","1307668,73754348",-,-,"1,0143433438","0,0011943009","0,00%","1,0000%"
08/1972,"268,8",-,2688,2688,FALSE,-,-,1,"0,000001","1,0083959346","1,6555421023","1,0083959346","0,827928369","1,0083959346","1289177,61973465",-,-,"1,0083959346","0,0011774128","0,00%","1,0000%"
09/1972,"268,8",-,2688,2688,FALSE,-,-,1,"0,000001","1,0071574642","1,6417580094","1,0071574642","0,8210350127","1,0071574642","1278443,88845728",-,-,"1,0071574642","0,0011676097","0,00%","1,0000%"
10/1972,"268,8",-,2688,2688,FALSE,-,-,1,"0,000001","1,0095721537","1,6300906936","1,0095721537","0,8152002461","1,0095721537","1269358,50041748",-,-,"1,0095721537","0,0011593119","0,00%","1,0000%"
11/1972,"268,8",-,2688,2688,FALSE,-,-,1,"0,000001","1,0066082459","1,6146351577","1,0066082459","0,8074710095","1,0066082459","1257323,20936339",-,-,"1,0066082459","0,00114832","0,00%","1,0000%"
12/1972,"268,8",-,2688,2688,FALSE,-,-,1,"0,000001","1,0114171543","1,6040352979","1,0114171543","0,8021700723","1,0114171543","1249069,05385736",-,-,"1,0114171543","0,0011407815","0,00%","1,0000%"
01/1973,"268,8",-,2688,2688,FALSE,-,-,1,"0,000001","1,00987724","1,5859285075","1,00987724","0,7931149565","1,00987724","1234969,21975145",-,-,"1,00987724","0,001127904","0,00%","1,0000%"
